"name","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"DESODORANTE REXONA AE POWDER WOMEN 150ML","7791293032436",1,1.5,0.625,0.25,4.875,9,7.84375
"DESODORANTE LA ROCHE AE PELES SENSIVEIS 150ML","3337872412141",0.65000004,0,0.8,0,1.6,4.6,9.235
"Desodorante Creme Love, Beauty And Planet Manteiga de Murumuru & Rosa","7891150065024",11.309525,0.11428572,0,0,3.1428573,4.857143,9.075057
"DESODORANTE ANTIT EN AEROSOL REXONA INVISIBLE","7791293032481",8.75,1.6230768,0.9230769,0,7.6923084,15.769231,8.663166
"Desodorante roll on Simple Invisible","78936515",0.6666667,0,0,0,1.3333334,0.16666667,9.638889
"Naturalis Desodorante Natural","NOREG6",0.5,0,0.5,0,0.5,1.1666667,9.555555
"Desodorante ecológico Zero Waste Lemongrass y Árbol de Té Kutis","5060651240014",0.6,0,0,0,0,0,9.88
"Desodorante (zero waste) Ben&Anna Persian Lime, 60g","4260491220257",3.888889,0.24444444,0,0,2.2222223,1.8888891,9.694651
"Desodorante Roll-On Granada Weleda","4001638500203",9.241177,0,0.7058824,0,3.1764705,6,8.875087
"Desodorante tomillo y salvia Corpore Sano","8414002085149",9.553846,0.115384616,0,0,2.6923077,5.230769,8.646746
"Desodorante spray Mineral Pure Spirit Sante","4025089075707",0.6666667,0,0,0,0.6666667,0,9.555555
"Rexona Women Antitranspirante Roll On Cotton Dry","779519",9.476191,0.4,0,0,6.619047,11.285714,8.677097
"Weleda Desodorante de Citrus","780521",3.375,0,0,0,0,3,8.40625
"Weleda Desodorante de Rosa","780522",3.375,0,0,0,0,3,8.40625
"Weleda Desodorante Citrus Roll-on 24hrs","780523",10.3,0,0.9411765,0,3.5882351,6.1764708,8.764359
"Dove Antitranspirante Original Barra","780524",11.52381,0.2857143,0.71428573,0.52380955,10.714286,6.3333335,8.566894
"Dove Antitranspirante Original Barra Invisible Dry","780525",10.075001,0.15,0.7,0.5,8.55,5.9,8.70625
"Dove Antitranspirante Go Fresh Pepino y Té Verde Barra","780526",7.2647066,0.24705882,0.7647059,0.47058824,7.82353,5.3529415,8.710381
"Dove Antitranspirante Go Fresh Pomelo y Limón Aerosol","780527",7.4210525,1.6684211,0.7894737,0.47368422,8.578947,12.842105,8.327701
"Dove Antitranspirante Dermo Aclarant Aerosol","780528",4.8181825,0.4818182,0.8181818,0.27272728,7.727273,4.909091,8.270247
"Dove Antitranspirante Original Clinical","780529",10.6875,0.16875,0.9375,0.5625,4.5,6.1875,8.559766
"SYS DESODORANTE NATURAL ALUMBRE STICK","780534",0,0,0,0,0,0,NaN
"Biofilia Desodorante Sólido","780535",0.75,0,0,0,0,0.5,9.6875
"Biofilia Desodorante Natural Roll on","780536",1.8266667,0.093333334,0,0,2.8,1.4,9.592
"SAPONARIA Desodorante Mineral Recargable","780537",1.5,0.1,0,0,3,0,7.7
"IRIS JABON REAL Desodorante Sólido","780538",3,0,0,0,0,0,7
"ECOBAZAR LA BICICLETA Desodorante Natural Vegano","780539",1.3000001,0.060000002,0,0,1.8000001,1,9.168
"Desodorante en Crema 24hrs Natural Fro","779577",0,0,0,0,0,0,10
"Hinds Delicious Antitranspirant Sin Alcohol","7794640170102",4.45,0.46,0.8,0.8,6.5,4,8.299
"Agua Calma Desodorante Natural En Barra","779588",0.7,0,0.625,0,0.625,1.375,9.584375
"Desodorante Intermedio Tea Tree","780590",0,0,0,0,0,0.45454547,9.958677
"Kamikase Desodorante Natural con aloe vera","779638",1.5600001,0.1,0,0,5.4,1.8666668,9.404889
"Weleda Desodorante Spray de Salvia","84699",8.39,0.24000001,0,0,3.6000001,5.2999997,8.247
"Weleda Desodorante Roll-On 24h de Granada","84701",4.2933335,0,0.6666667,0,3.266667,3.7333336,9.202666
"Sentido Circular Desodorante","779750",0,0,0,0,0,0,10
"Ruh natural desodorante","779770",1,0,0,0,0,0,9.666667
