"name","numero_ingredientes","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Neroli BB cream",11,"7791195",0,0,0,0,1.25,1.25,9.00589
"Durga Iluminador",8,"7791196",0.6666667,0,0,0,1.1666667,0.5,9.072164
"ZaoMakeup Labial gloss",6,"7791197",1.5,0,0,0,0,0,9.403534
"Toro Blanco Balsamo jugoso",6,"7791199",0,0,0,0,0,0,10
"Toro Blanco polvo mate fijador",6,"7791200",0,0,0,0,0,0,10
"NEROLI CORRECTOR DE OJERAS CON POLVO DE PERLAS",9,"7791201",2.6666667,0.4,0.6666667,0,1.6666667,2.3333335,6.9248857
"Simplemente jabón oleo de neem",4,"7791202",0,0,0,0,0,0,10
"Simplemente jabón desatanudos",8,"7791203",0,0,0,0,0,0,10
"Malia Shampoo Sólido Vegano PALTA & ROMERO",8,"7791205",0,0,0,0,0,0,10
"Sri Sri crema corporal cósmetica ayurvedica",27,"8906038786058",7.6470594,0.4,0.11764706,2.2352943,4.5882354,5.3529415,1.9114523
"Semilla cosmeticos shampoo sólido purificante para cabello seco",21,"7791208",13.222221,0.30000004,1.4444444,0.5555556,4.166667,2.2222223,1.287178
"Semilla cosmeticos agua micelar",20,"7791209",7.2857137,0.22142859,0,0.14285715,5,0.8571429,4.6289654
"Semilla cosmeticos kit esmaltes",32,"7791210",2.4583335,0.47916672,0.9166666,1.0416667,5.75,1.7083334,5.0874386
"Cuidado Integral vegano crema BB cream",14,"7791211",1.7583333,0,1,0,4,1.75,6.616712
"Cuidado Integral vegano gel de limpieza facial",11,"7791212",0.4,0,0,0,0,2,9.045654
"CREMA DE TRATAMIENTO PRIMONT BIO BALANCE RULOS",17,"7798151507150",5.069231,0,0,0,1.7692308,3.7384617,5.7941494
"Cosmetica vegana Acondicionador Sólido",7,"7791215",0,0,0,0,1,0,9.602356
"Cosmetica vegana Desodorante Sólido",6,"7791216",0.075,0,0,0,0,0.75,9.671944
"Cosmetica vegana pasta dental solida menta",5,"7791217",0,0,0,0,0,0,10
"Neutrogena Face Care Intensive Hidratante mate 3 en 1",16,"7891010253844",3.9285715,0,0,0,5.642857,5.214286,4.1205482
"Mama Bruja desodorante Natural",9,"7791219",0,0,0,0,0,0,10
"Mama Bruja Aceite corporal pomelo rosado",8,"7791220",0,0,0,0,0,0,10
"TheGlowfactor Luxury Base Oil emulsion facial",7,"7791221",1.5,0,0,0,0,1.5,8.807068
"TheGlowfactor Sérum rejuvenecedor",16,"7791222",7.1666665,0,0,0,1.3333334,3.25,5.327683
"Neroli Serum Calmante",8,"7791224",0,0,0,0,0,0.16666667,9.933726
"Neroli Tonico pieles mixtas y grasas",12,"7791225",0.8888889,0,0,0,0,0.33333334,9.51399
"Dermavite crema de tratamiento corporal",12,"7791226",3.6,0,0.8,1.6,5.2999997,0.8,5.188507
"La Roche-Posay hydraphase intense uv legere",25,"3337872412615",4.6904764,0.08571429,1.6666667,2.5714285,8.380953,4.3333335,1.3597622
"Cuvage Quitasmalte humectante sin acetona",11,"7791228",5,0.25,0,0.625,1.375,3.875,5.57621
"The ordinary Mandelic Acid 10%",13,"7791229",3.1000001,0.54,2,0,4.2,0.6,5.848596
"ANANKÉ PASTA DENTAL",11,"7791230",1.7555556,0,0,0,0,2,8.506626
"ACF body solutions exfoliante",22,"7791232",9.342105,0.53157896,0,1.2631578,4.052632,5.684211,1.6997042
"Lipa shampoo solido calendula y manzanilla",7,"7791233",0.75,0,0,0,0.25,1.5,9.00589
"Lipa Espuma de limpieza",6,"7791234",0,0,0,0,0,0,10
"Lipa crema facial extra hidratante",11,"7791235",0,0,0,0,0.875,0,9.652061
"Lipa Shampoo solido romero y ricino",11,"7791236",2.7142859,0,0,0,0.42857143,0.85714287,8.409424
"Lipa serum facial nocturno",5,"7791237",0,0,0,0,0,0,10
"Lipa Shampoo sólido Caléndula y Manzanilla",7,"7791239",1,0,0,0,0.33333334,0.6666667,9.204712
"Lipa Shampoo solido romero y ricino",11,"7791240",2.8333335,0,0,0,0.5,1,8.2768755
"Lipa Serum Nocturno",5,"7791241",0,0,0,0,0,0,10
"Lipa Crema Facial Skin Hero extra-hidratante",11,"7791242",0,0,0,0,0.75,0,9.701767
"Lipa Crema facial Light Balance Hidratante Ultra-liviana",10,"7791243",0,0,0,0,0.8,0,9.681885
"Lipa Espuma de limpieza",5,"7791244",0,0,0,0,0,0,10
"Lipa Acondicionador Coco, Karité y Cacao",5,"7791245",0,0,0,0,1,0,9.602356
"Flordelrio desodorante corporal salvia y tea tree",9,"7791246",0,0,0,0,0,0,10
"SAHYAS SHAMPOO SOLIDO ORTIGA,JOJOBA Y ROMERO",7,"7791247",0,0,0,0,0,0,10
"Selva shampoo sólido anticaida",11,"7791248",1.3333334,0,0,0,0,0,9.469808
"Selva agua micelar con jojoba",7,"7791249",0,0,0,0,0,0,10
"Selva crema solida rosa mosqueta y karite",10,"7791250",0,0,0,0,0,0,10
"Maria Magdalena mate acondicionador",19,"7791251",3.125,0,0,0,7.125,0.625,5.675621
"Maria Magdalena crema corporal GOJI",22,"7791252",3.5882354,0,0,0,3.294118,0.8235294,6.9358015
"Bio Desodorante Roll on natural puro vegetal Botik",20,"703980504215",3.7923076,0,0,0,0.6923077,2.0769231,7.3908434
"Coony pure Daily cleanser",39,"8809192705029",9.513889,0.175,0.25,0,4.5,7.0555553,1.4528618
"Agua Calma Crema Facial Bioregeneradora",17,"7791256",1.6923077,0,0,0,1.6153846,1.3846154,8.134132
"Cosmetica Vegana Shampoo Sólido cabello Neutro",9,"7791257",0.6428572,0,0,0,0,0.5714286,9.517146
"Cosmetica Vegana serum capilar",5,"7791258",0,0,0,0,0,0,10
"Matariki Shampoo Sólido avena y lavanda",6,"7791260",0.1,0,0,0,0,1,9.562592
"Nyubu Shampoo Cabello Graso",8,"7791261",0.8333333,0,0,0,0,0.8333333,9.33726
"Nyubu Acondicionador extra nutritivo small",10,"7791262",1.25,0,0,0,1,0,9.105301
"Violetta crema para cuerpo arandanos",20,"2001013779998",5.78125,0.24375,0.4375,0.125,3.0625,2.8125,5.044361
"Aurelia Emulsion humectante",12,"7791264",2.5,0.1,0.6666667,0,1,1.7777778,7.5964622
"Maleza Crema de Limpieza",9,"7791265",0.2857143,0,0.2857143,0,0.5714286,0,9.545549
"Maleza crema facial hidratante para todo tipo de piel",14,"7791266",0,0,0,0,0.75,0,9.701767
"Maleza jabón de Avena y Calendula",6,"7791267",0,0,0,0,0,0,10
"Caren cosmetica Pasta dental Artesanal",9,"7791268",0,0,0,0,0,0.42857143,9.829581
"Caren Cosmetica Desodorante Artesanal",7,"7791269",0,0,0,0,0,0,10
"Caren Cosmetica serum con argan , capilar y corporal",7,"7791270",0,0,0,0,0,0,10
"MD natural Crema Corporal Sólida con calendula",7,"7791271",1.2,0,0,0,0,0,9.522827
"MD Natural Agua Micelar",7,"7791272",4,0,0,0,1.4,3,6.6597905
"Maleza crema exfoliante con almendras",9,"7791273",0.6666667,0,0,0,0.8333333,0,9.403534
"Cloe desodorante Limón",10,"7791274",0.7,0,0.625,0,0.625,1.375,8.677834
"Rusens JABÓN VEGETAL DE CARBÓN ACTIVADO",3,"7791276",0,0,0,0,0,0,10
"Rusens crema facial piel mixta a piel grasa",15,"7791277",0.5,0.060000002,0,0,0.5,0.4,9.419439
"Arbel Serum Facial Antiage humectante",19,"7791278",7.3846154,0,0,0,1.923077,2.923077,5.1365075
"Elvive Oleo Capilar Extraordinario",20,"7509552874204",6.2647057,0.05294118,0,0.1764706,0.3529412,4.8235297,5.3592596
"Crove crema reparadora de Pies ultrahidratante",23,"848002454425",10.190476,0.3,0.95238096,0.42857143,6.8571424,4.9047623,0.60234547
"Rouse arey Lechede Limpieza Oil free",17,"7791281",2.32,0,0,0,1.8,1.6666667,7.6989665
"Rosehip Shampoo Sólido Anticaída",10,"7791282",2.4285715,0,0,0,1,1.2857144,8.125392
"ACF by dadatina tonico exfoliante",9,"7798111211356",1.1428572,0.014285715,0.14285715,0.14285715,0.14285715,2.142857,8.517356
"MUNNAH desodorante orgánico",24,"7791285",2.647619,0,0.7619048,0,2.047619,3.1904764,6.561326
"Las Rishis Exfoliante Orion",7,"7791286",0.90000004,0,0,0,0,1.2,9.1649475
"Fauna shampoo sólido cabello neutro a seco",5,"7791287",0,0,0,0,0,0,10
"Fauna shampoo solido cabello graso",6,"7791288",0.1,0,0,0,0,1,9.562592
"Fauna Acondicionador",5,"7791289",0,0,0,0,1,0,9.602356
"Maleza contorno de ojos",11,"7791290",0,0,0,0,0,0,10
